,country,lat,lon,max temp,clouds,wind speed,humidity
210,JP,31.5,131.29,52.9,0,6.62,100
211,US,30.04,-94.42,78.8,1,3.36,47
212,CA,58.81,-122.69,41.0,75,6.93,60
213,NO,70.86,29.09,32.56,88,16.69,100
214,IS,63.84,-22.43,39.2,90,24.16,100
215,MU,-20.34,57.76,69.8,40,4.7,83
216,BA,44.56,17.53,68.0,0,5.82,49
217,ID,1.74,98.78,70.85,92,1.03,100
218,MX,21.28,-88.27,90.56,0,5.17,47
219,MG,-25.17,45.06,66.71,20,10.76,77
220,ML,16.42,-3.66,85.97,0,7.4,21
221,RU,69.3,139.9,-0.3,80,2.93,73
222,SO,11.47,49.87,68.65,8,2.48,95
223,BW,-18.54,25.64,75.31,12,6.73,20
224,BR,-26.78,-51.02,66.26,0,16.24,65
225,NZ,-46.13,167.69,45.34,92,2.93,100
226,RU,60.47,166.1,35.44,92,3.94,92
227,AR,-46.43,-67.52,69.73,0,8.97,40
228,US,60.55,-151.26,39.2,90,9.17,93
229,RU,59.77,30.8,33.8,75,15.66,95
230,VE,8.02,-62.41,93.17,20,10.98,52
231,ER,13.93,41.69,76.84,0,2.48,52
232,SA,21.43,39.83,80.89,0,7.4,44
233,RU,57.69,71.17,42.68,92,7.63,92
234,US,40.83,-115.76,62.6,40,5.82,33
235,RU,64.73,177.51,23.0,88,13.42,79
236,NG,5.49,7.03,83.72,32,2.82,65
237,PE,-5.56,-80.82,71.48,32,12.44,77
238,CA,48.78,-87.1,41.0,90,2.24,100
239,NO,71.03,27.85,31.25,88,14.23,79
240,CL,-29.95,-71.34,64.4,0,18.34,63
241,NG,12.03,8.66,82.4,20,3.36,65
242,PE,-13.71,-76.2,68.0,20,12.75,72
243,BD,22.34,90.74,76.43,80,15.68,95
244,RU,49.04,41.01,37.06,48,9.42,91
245,UZ,39.96,68.4,66.58,100,9.64,50
246,CL,-38.71,-73.16,61.85,92,4.16,82
247,US,36.3,-76.22,57.2,90,9.17,82
248,CA,63.59,-135.9,21.2,90,2.37,92
249,PG,-2.02,147.27,82.1,12,3.49,100
250,CA,49.72,-86.95,35.6,90,6.93,84
251,JP,35.74,139.53,64.4,90,4.7,71
252,ML,22.68,-3.98,81.25,0,4.94,21
253,KZ,47.96,80.43,27.43,0,3.04,63
254,IR,36.2,46.09,36.79,56,3.38,79
255,AU,-31.97,141.45,62.21,68,9.19,56
256,ES,28.66,-17.92,69.8,75,8.05,83
257,RU,57.02,82.07,46.55,64,9.19,54
258,PT,41.42,-6.55,43.99,32,10.65,62
259,RS,43.52,20.24,64.4,0,3.36,59
260,TH,9.32,99.69,83.59,48,8.41,100
261,RU,59.08,42.29,20.45,32,3.71,81
262,US,32.25,-101.48,78.8,1,5.73,60
263,AR,-37.33,-59.14,67.48,56,7.52,83
264,ID,-2.08,101.38,65.81,36,0.47,97
265,SA,17.54,44.22,78.8,0,6.93,29
266,PH,6.37,126.17,83.72,56,7.4,100
